I'd like to book a trip to Atlantis from Caprica on Saturday, August 13, 2016 for 8 adults. I have a tight budget of 1700.?	Hi...I checked a few options for you, and unfortunately, we do not currently have any trips that meet this criteria.  Would you like to book an alternate travel option?
Yes, how about going to Neverland from Caprica on August 13, 2016 for 5 adults. For this trip, my budget would be 1900.?	I checked the availability for this date and there were no trips available.  Would you like to select some alternate dates?
I have no flexibility for dates... but I can leave from Atlantis rather than Caprica. How about that??	I checked the availability for that date and there were no trips available.  Would you like to select some alternate dates?
Hello, I am looking to book a vacation from Gotham City to Mos Eisley for $2100.?	Hi. Sorry, I can't find any trips from Gotham City to Mos Eisley for you.
What about a trip from Gotham City to Neverland for the same budget??	Sorry, I cannot find any trips leaving from Gotham City. Could you suggest another nearby departure city?
Would any packages to Mos Eisley be available if I increase my budget to $2500??	There are no trips available to Mos Eisley.
You know what, I'd like to try and visit Neverland?	I cannot find any trips available to Neverland.
Do you have any trips from Gotham City to Kobe for my original budget of $2100??	I can book you a 3 day trip to Kobe leaving from Sapporo, Japan. Is this ok?
No, that's too far for me. I need a flight that leaves from Birmingham.?	I can book you a trip from Birmingham to Kobe for 2747.8 USD.
How many days would I be in Kobe??	You would arrive in Kobe August 17th and return to Birmingham on August 22nd.
What would the price be if I shortened my trip by one day??	I can not find any trips from Birmingham to Kobe for 4 days.
Ok, then I would like to purchase this package. What activities are included in this package??	There are no activities listed for this package. You will be staying at the Ivory Legacy Hotel for 7 days. This hotel has a 4.5 star rating and free wifi. Will I go ahead and book this package?
Yes, I would like to book this package.?	Great. Your flight departs from Birmingham at 9:00 am - Wednesday, August 17th 2016. Enjoy your trip, I have booked this package for you.
Hello there i am looking to go on a vacation with my family to Gotham City, can you help me??	when  would you like to travel and how many people will you be?
Not sure when we want to leave, but we are 12 kids and 5 adults?	do you have a budget?
yes i do, it is around $2200?	where will you be travelling from?
We are from Neverland?	We have nothing available leaving from Neverland, are you able to depart from another city?
we can depart from Toronto?	Gotham City is not a destination we travel to. Are you interested in any other destinations?
hmm what options would i have out of Toronto??	Would you be interested in Calgary?
that would be nice?	I have a departure from Toronto to Calgary  on August 17 returning on August 24. Does that work for you?
No sorry i was planning on getting a tan this vacation. Thanks, is there anywhere else? Thank you
is there anywhere else??	How about a trip to Dominican Republic? it is quite cheap at this time of year.
What options do you have available for me??	I have the el Mar hotel available in Punta Cana this week.
That sounds interesting. how many stars does the hotel have??	2.5 stars. You would have to fly out of Melbourne though
Hi I'd like to go to Caprica from Busan, between Sunday August 21, 2016 and Wednesday August 31, 2016?	And what would be your maximum budget for this trip?
Actually it's unlimited for this trip?	How many adults and how many children will be making this trip?
2 adults?	I have no trips to Caprica from Busan.  I do have a trip to Mannheim, Germany, one to Kingston , Canada, and another to Toronto Canada.  Would you like to select alternate dates or an alternate travel destination?
Do you have anything for San Antonio as a destination??	Yes, I do.  I have one for 8445.37 USD.  Would you like to book this package?  The guest rating is 7.15/10 and there is free parking and free wifi.  Leaving Sunday, August 21st at 11:00 a.m. and returning Sunday, August 28th at 1:00 a.m.
Is breakfast included??	Yes, it is.
That sounds great. 1:00 am return on Sunday August 28th is very early in the morning... ?	Would you like to book this package?
Hello, I am looking to book a trip for 2 adults and 6 children for $21,300 or less. We are departing from Kochi for Denver.?	I have several options available within your budget. How long would you like to travel for? And do you have dates in mind?
I do not have any dates in mind. I would like to spend as much time in Denver as my budget will allow.?	I can book 7 days at a 4.0 star hotel for 19028.93USD. I can also book 7 days at a 3.0 star hotel for 12824.84USD.
Do these packages have different departure dates? When would I be leaving for each of them??	The 3.0 star trip leaves Kochi August 26 and returns August 31. The 4.0 star leaves August 27 from Kochi and returns September 1.
Ok, I would like to purchase the trip with the 4-star hotel.?	Perfect, I will book that trip for you now. You will depart Kochi at 9:00 am August 27. Have a nice day.
Hey, i Want to go to St. Louis on the 17th of August?	For how many days?
I need to back by the 31st?	What will your departure city be?
I am from Calgary?	I have a direct flight leaving from Calgary on August 18 and returning on August 28th. Does that work for you?
Yes that sounds perfect may you please tell me about the destination place?	It is the Glorious Cloak inn hotel in St. Louis. It has a 3-star rating.
That sounds lavish, what type of flight would that be??	You would be flying business class, for a grand total of only $1858.14
Are there any possible flights with economy class??	I have a package at the Lunar whcih has a 5 star rating on an economy class flight on the same dates for $1558.00
that sounds even better.?	This deal includes free breakfast and free wifi. Would you like me to book it for you?
I'm looking for a trip to Gotham City leaving from Kakariko Village on Saturday, August 13, 2016. 3 adults for no more than $2400 USD.?	I have a trip available to Vancouver for these dates within your price range.  Would you like to increase your budget or adjust the dates?
I'd like to adjust the departure city to Caprica.?	Still no availability for this destination.  Would you like to increase your budget or adjust the dates?
The dates cannot be changed. How about going to Theed with 14 adults, leaving from Kakariko Village, on a budget of $2900??	Still no availability.
Hello, I would like to book a 2-week trip leaving from Melbourne on August 27. I would like to go to Mannheim.?	Have you got a budget for this vacation?
I do not have a budget, however I would like to pick whichever package is cheapest. Could you offer me the cheapest package for each destination??	I can book you 9 days in Mannheim for 3258.15USD at a 5 star hotel,
Is there a package to Mannheim which offers a cheaper hotel? I am flexible with my dates of arrival and departure.?	I am unable to find any cheaper packages for Mannheim
What would the cost be if I stayed for 10 days in Mexico City??	You can stay in Mexico City for 8 days for 426.16USD leaving from Melbourne, USA.
Actually I am leaving from Melbourne, Australia. How does this affect the price of the trip??	I cannot find any trips available from Melbourne, Australia to Mexico City.
Could I purchase a package  to Vancouver similar to the one I was offered??	I cannot find any trips available from Melbourne, Australia to any destinations. This point of departure is not in my database.
Hello, I am planning to book a trip to pittsborgh?	Hello. Would that be Pittsborgh, Pennsylvania?
i think so!?	And what city will you be departing from?
We will be leaving from Fukuoka?	how many people will be travelling together?
there will be myself, 1 adult, and my four kids?	Do you have specific dates in mind?
none at the moment?	and for how long would you like to go for?
also not sure yet?	I have no flights available to Pittsburgh, but I have package available to Vancouver
I would like to see the availabilities in Vancouver please?	I have several available.  Do you have a budget in mind?
I have $12600 to spend on this vacation?	It would be helpful if you could provide me with some dates
we are very flexible with dates anything would work?	I am very sorry  but I have nothing available at the moment
Hi, I need to go to Mos Eisley for a wedding, leaving on Saturday, August 13, 2016 and returning on Tuesday, August 16, 2016. Preferably for $3700.?	Would you like to have a departure from a specific location?
I'd like to get away from Monday, August 15, 2016 to Wednesday, August 31, 2016. My budget is $3200 and I would leave from Detroit.?	And what destination would you like to travel to?
Anywhere, I'm looking for an adventure. What do you have??	How about Mexico or Porto Alegre?
Let's look at both?	Mexico is unavailable.  Porto Alegre is available, but you would have to leave from Santos.
Can you please suggest some destinations that are available? I am leaving from Detroit.?	I have no departures available from Detroit. for these dates.  Would you like to make a date change?
Anything between August 15 and August 31??	I'm sorry, but we do not have any departures from Detroit available for these dates for the budget you provided.  Would you like to adjust your budget for this trip?
Good day, please book me a trip from Vancouver, Jamaica to Recife. I would like to leave for 17 days on August 24.?	Would you like to travel to Vancouver, Canada from Dublin, USA?
No, I would like to depart from Vancouver, Jamaica for the aforementioned destination.?	I can book you an 8 day trip from Calgary to Vancouver, Canada for 810.50USD.
I would not like to travel to Vancouver, Canada.  Do you have any trips to Recife, Brazil??	I can book you a trip from Porto Alegre to Recife for 682.19USD.
I will take any package you give me to any destination as long as it leaves from Vancouver, Jamaica.?	I can book you a trip from Vancouver, Canada to Toronto, Canada for 837.99USD.
If you cannot book me a flight that leaves from Vancouver, Jamaica then I cannot book a trip.?	I cannot book you a trip leaving from Vancouver, Jamaica.
Actually I will be departing from Vancouver, British Columbia, do you have packages to Recife??	I can book 11 days in Recife leaving from Vancouver for 2171.6USD.
Do you have any similar packages to Goiania??	I can book 5 days in Goiania for 2190.68USD.
What kind of hotel would I be staying at in Recife??	3.5 star hotel for free wi-fi, free parking, and free breakfast.
Would my room have a view of the city? How much would it cost to upgrade to a room with a view??	I cannot provide this information
Ok, I'm ready to buy this package?	Ok. I will book this package for you. You will be leaving Vancouver, Canada at 1:00 pm - Monday, August 15th 2016 and arriving in Recife, Brazil at 10:16 pm - Monday, August 15th 2016. You will be staying at La Casa Del Amor. Enjoy your trip.
I was supposed to leave on August 24th. Do you have any packages that leave on that date??	I can book you 11 days in Recife leaving Vancouver on August 27th for 3119.42USD.
Actually I would like to purchase the first package to Recife.?	Ok, I will book you the package to Recife that leaves Vancouver, Canada on August 15.
Hi im looking for a nice destination that i could go to from Columbus?	I have 2 choices, Vancouver or Toronto.
What options are there for both?	I have a few. Do you have a budget in mind?
$3700 is my budget at the moment?	I have the Obsidian Gem Inn in Vancouver which is a 4-star hotel at $1934.64 or the Hotel Richard in Toronto which is a 3-star hotel at $2393.00. Both are for a 14 day stay.
Toronto seems like a better place this time of year, when would the flights be??	I have a direct flight to Toronto departing on August 15th and returning on August 28th.  Would you like me to book that for you?
would by chance have one leaving on the 19th?	I have a flight available departing on August 24th and returning on September 6th
let¡¯s go ahead and book this?	Perfect. Thank you.
Hi, I have a big family and we can't afford a big vacation, we want to go to Atlantis from Mos Eisley for $3600 at most.?	Do you have a preferred set of dates for this trip?
Nope?	And how many adults and how many children are you bringing with you to Atlantis?
12 adults and one child.?	I'm sorry, but we do not currently have any travel packages available for this destination.  Do you have any other destinations that you might like to travel to?
No, we are visiting family in Atlantis. Can you check once more please??	I'm sorry, but I do not currently have any travel packages available for this location.  Are you quite sure that I cannot interest you in another travel destination?
Hi, I'm leaving from Diagon Alley and going to Coruscant on a budget of $3400. The dates don't matter, but I cannot afford anything over my budget.?	And how many children and adults will you be bringing with you?
Just myself.?	I'm sorry, but this travel destination is not available.
What about Neverland on the same budget??	Neverland is unavailable.  Vancouver would be available, however.  Would you like to select another location?
No I cannot do another location. What if I increased my budget by $400??	I am sorry, but we do not have any trips available to the Neverland travel destination.
nor Coruscant??	Coruscant is not available either.
Hi there, im from Vitoria and I want to go on vacation?	where would you like to go?
I would like to go to Santo domingo?	would a 7 day trip work for you?
